电信组播,#genre#
贵州卫视,http://ljiang.myqnapcloud.com:8123/udp/239.93.0.131:5140
湖北卫视,http://ljiang.myqnapcloud.com:8123/udp/239.93.0.250:5140
安徽卫视,http://ljiang.myqnapcloud.com:8123/udp/239.93.1.106:5140
河北卫视,http://ljiang.myqnapcloud.com:8123/udp/239.93.0.132:5140
辽宁卫视,http://ljiang.myqnapcloud.com:8123/udp/239.93.1.108:5140
云南卫视,http://ljiang.myqnapcloud.com:8123/udp/239.93.1.174:5140
云南卫视,http://ljiang.myqnapcloud.com:8123/udp/239.93.0.174:5140
河南卫视,http://ljiang.myqnapcloud.com:8123/udp/239.93.42.45:5140
广西卫视,http://ljiang.myqnapcloud.com:8123/udp/239.93.42.46:5140
吉林卫视,http://ljiang.myqnapcloud.com:8123/udp/239.93.0.248:5140
陕西卫视,http://ljiang.myqnapcloud.com:8123/udp/239.93.0.176:5140
山西卫视,http://ljiang.myqnapcloud.com:8123/udp/239.93.0.6:5140
内蒙古卫视,http://ljiang.myqnapcloud.com:8123/udp/239.93.0.8:5140
青海卫视,http://ljiang.myqnapcloud.com:8123/udp/239.93.0.192:5140
宁夏卫视,http://ljiang.myqnapcloud.com:8123/udp/239.93.0.247:5140
西藏卫视,http://ljiang.myqnapcloud.com:8123/udp/239.93.0.175:5140
新疆卫视,http://ljiang.myqnapcloud.com:8123/udp/239.93.0.194:5140
甘肃卫视,http://ljiang.myqnapcloud.com:8123/udp/239.93.0.81:5140
海南卫视,http://ljiang.myqnapcloud.com:8123/udp/239.93.0.80:5140
陕西农林,http://ljiang.myqnapcloud.com:8123/udp/239.93.0.100:5140
兵团卫视,http://ljiang.myqnapcloud.com:8123/udp/239.93.42.43:5140
峨眉电影,http://ljiang.myqnapcloud.com:8123/udp/239.93.0.252:5140
峨眉电影,http://ljiang.myqnapcloud.com:8123/udp/239.93.1.54:5140
峨眉电影,http://ljiang.myqnapcloud.com:8123/udp/239.93.1.18:5140
厦门卫视,http://ljiang.myqnapcloud.com:8123/udp/239.93.42.57:5140
三沙卫视,http://ljiang.myqnapcloud.com:8123/udp/239.93.42.58:5140
山东教育卫视,http://ljiang.myqnapcloud.com:8123/udp/239.93.1.196:5140
CDTV-2,http://ljiang.myqnapcloud.com:8123/udp/239.93.0.17:1239
CDTV-3,http://ljiang.myqnapcloud.com:8123/udp/239.93.0.18:1238
CDTV-4,http://ljiang.myqnapcloud.com:8123/udp/239.93.0.19:1250
CDTV-5,http://ljiang.myqnapcloud.com:8123/udp/239.93.1.231:5140
CDTV-6,http://ljiang.myqnapcloud.com:8123/udp/239.93.0.21:1251
